issue_id,type,created_date,created_date_zoned,updated_date,updated_date_zoned,resolved_date,resolved_date_zoned,summary,description,priority,status,resolution,assignee,assignee_username,reporter,reporter_username
MRM-436,Bug,2007-07-29T23:57:05.783Z,2007-07-29T23:57:05.783Z,2007-08-17T02:02:40.205Z,2007-08-17T02:02:40.205Z,2007-08-17T02:02:40.208Z,2007-08-17T02:02:40.208Z,incorrect default cron expression for snapshots repository,it is '0 0' which is not a valid value - it should probably be the same as for releases,Major,Closed,Fixed,Maria Odea Ching,oching,Brett Porter,brettporter
MRM-421,Bug,2007-06-22T08:43:41.005Z,2007-06-22T08:43:41.005Z,2007-06-22T23:07:57.626Z,2007-06-22T23:07:57.626Z,2007-06-22T23:07:57.631Z,2007-06-22T23:07:57.631Z,Default configuration does not proxy the central repo - Failed pre-download policies,"Testing the fix for MRM-370...

rm -rf $M2_REPO/org/apache/maven/plugins/maven-clean-plugin
cd /path/to/project
mvn clean

I get the usual ...could not be found or no valid version... message.  In the Archiva logs:

jvm 1    | 2007-06-22 06:25:29,796 [SocketListener0-1] INFO  org.apache.maven.archiva.proxy.RepositoryProxyConnectors:default  - Failed pre-download policies -C:\${appserver.home}\repositories\internal\org\apache\maven\plugins\maven-clean-plugin\maven-metadata.xml

There are no whitelist patterns for the internal -> central proxy connector.  We should ship with configuration that actually makes it proxy.  Adding a whitelist pattern of ""*"" seems to work.

Should an absence of whitelist patterns mean 'proxy everything'?",Major,Closed,Fixed,Wendy Smoak,wsmoak,Wendy Smoak,wsmoak
MRM-415,Bug,2007-06-17T16:50:33.458Z,2007-06-17T16:50:33.458Z,2010-04-05T11:32:28.009Z,2010-04-05T11:32:28.009Z,2007-06-17T18:30:39.416Z,2007-06-17T18:30:39.416Z,[MySQL] Specified key was too long; max key length is 765 bytes,"When starting up archiva on a MySQL Database. the following error is seen.

{code}
Caused by: javax.jdo.JDODataStoreException: An exception was thrown while adding/validating class(es) : Specified key was too long; max key length is 765 bytes
com.mysql.jdbc.exceptions.MySQLSyntaxErrorException: Specified key was too long; max key length is 765 bytes
        at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:936)
        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:2870)
        at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:1573)
        at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:1665)
        at com.mysql.jdbc.Connection.execSQL(Connection.java:3170)
        at com.mysql.jdbc.Connection.execSQL(Connection.java:3099)
        at com.mysql.jdbc.Statement.execute(Statement.java:695)
        at org.jpox.store.rdbms.table.AbstractTable.executeDdlStatement(AbstractTable.java:614)
        at org.jpox.store.rdbms.table.AbstractTable.executeDdlStatementList(AbstractTable.java:570)
        at org.jpox.store.rdbms.table.AbstractTable.create(AbstractTable.java:297)
        at org.jpox.store.rdbms.table.AbstractTable.exists(AbstractTable.java:341)
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.performTablesValidation(RDBMSManager.java:3052)
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.addClassTablesAndValidate(RDBMSManager.java:3313)
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.run(RDBMSManager.java:2554)
        at org.jpox.store.rdbms.RDBMSManager$MgmtTransaction.execute(RDBMSManager.java:2406)
        at org.jpox.store.rdbms.RDBMSManager.addClasses(RDBMSManager.java:821)
        at org.jpox.store.rdbms.RDBMSManager.addClass(RDBMSManager.java:835)
        at org.jpox.AbstractPersistenceManager.newObjectIdInstance(AbstractPersistenceManager.java:2377)
        at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectById(JdoAccess.java:428)
        at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectById(JdoAccess.java:466)
        at org.apache.maven.archiva.database.jdo.JdoRepositoryDAO.getRepository(JdoRepositoryDAO.java:76)
        at org.apache.maven.archiva.web.startup.ConfigurationSynchronization.synchConfiguration(ConfigurationSynchronization.java:94)
        at org.apache.maven.archiva.web.startup.ConfigurationSynchronization.initialize(ConfigurationSynchronization.java:147)
        at org.codehaus.plexus.personality.plexus.lifecycle.phase.InitializePhase.execute(InitializePhase.java:33)
{code}",Major,Closed,Fixed,,,Joakim Erdfelt,joakime
MRM-485,Bug,2007-08-27T14:06:54.3Z,2007-08-27T14:06:54.3Z,2007-08-28T01:11:57.595Z,2007-08-28T01:11:57.595Z,2007-08-28T01:11:57.6Z,2007-08-28T01:11:57.6Z,"Unable to create a ""snapshot only"" repository.","1- Create or edit any repository
2- Uncheck the ""Releases Included""
3- submit

=> The repository ""Releases Included"" always stays to true.",Major,Closed,Duplicate,,,Oscar Picasso,oscarpica
MRM-488,Bug,2007-08-29T04:57:08.063Z,2007-08-29T04:57:08.063Z,2007-12-04T08:08:26.218Z,2007-12-04T08:08:26.218Z,2007-09-28T18:27:35.517Z,2007-09-28T18:27:35.517Z,properties in pom are not resolved (at least while browsing),"I extensively use properties in pom.xml (see attached one).

But Archiva does not resolve pom configuration. When I browse my project I see not resolved values.

Attached mentioned project's pom.xml and screenshot of browse page.
",Major,Closed,Fixed,Joakim Erdfelt,joakime,Libor Kramolis,libor.kramolis
MRM-431,Bug,2007-07-10T13:04:48.618Z,2007-07-10T13:04:48.618Z,2007-07-10T14:06:10.629Z,2007-07-10T14:06:10.629Z,2007-07-10T14:06:10.638Z,2007-07-10T14:06:10.638Z,Error with artifacts that do not have a pom.xml file,"When trying to download an artifact with no pom (for instance xml-security / xmlsec ) maven fails with an error. When not using Archiva, maven does not fail. (it only shows a warning).

here is the stack trace (with archiva). You will need to modify the pom.xml file to point to your archiva server / port for this to work.

{code}
+ Error stacktraces are turned on.
[INFO] Scanning for projects...
[INFO] -------------------------------------------------------------------------
---
[INFO] Building Aplicacion xxx
[INFO]    task-segment: [compile]
[INFO] -------------------------------------------------------------------------
---
[INFO] [resources:resources]
[INFO] Using default encoding to copy filtered resources.
Downloading: http://trn-esv1:8080/archiva/repository/internal/xml-security/xmlse
c/1.3.0/xmlsec-1.3.0.pom
[INFO] ------------------------------------------------------------------------
[ERROR] BUILD ERROR
[INFO] ------------------------------------------------------------------------
[INFO] Error building POM (may not be this project's POM).


Project ID: xml-security:xmlsec

Reason: Error getting POM for 'xml-security:xmlsec' from the repository: Error t
ransferring file
  xml-security:xmlsec:pom:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)



[INFO] ------------------------------------------------------------------------
[INFO] Trace
org.apache.maven.lifecycle.LifecycleExecutionException: Unable to get dependency
 information: Unable to read the metadata file for artifact 'xml-security:xmlsec
:jar': Error getting POM for 'xml-security:xmlsec' from the repository: Error tr
ansferring file
  xml-security:xmlsec:pom:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)

  xml-security:xmlsec:jar:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)
Path to dependency:
        1) com.foo.bar:bar-web:war:1.0.0-SNAPSHOT


        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(Defa
ultLifecycleExecutor.java:551)
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalWithLi
fecycle(DefaultLifecycleExecutor.java:475)
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoal(Defau
ltLifecycleExecutor.java:454)
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalAndHan
dleFailures(DefaultLifecycleExecutor.java:306)
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeTaskSegmen
ts(DefaultLifecycleExecutor.java:273)
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.execute(DefaultLi
fecycleExecutor.java:140)
        at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:322)
        at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:115)
        at org.apache.maven.cli.MavenCli.main(MavenCli.java:256)
        at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
        at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.
java:39)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAcces
sorImpl.java:25)
        at java.lang.reflect.Method.invoke(Method.java:585)
        at org.codehaus.classworlds.Launcher.launchEnhanced(Launcher.java:315)
        at org.codehaus.classworlds.Launcher.launch(Launcher.java:255)
        at org.codehaus.classworlds.Launcher.mainWithExitCode(Launcher.java:430)

        at org.codehaus.classworlds.Launcher.main(Launcher.java:375)
Caused by: org.apache.maven.artifact.resolver.ArtifactResolutionException: Unabl
e to get dependency information: Unable to read the metadata file for artifact '
xml-security:xmlsec:jar': Error getting POM for 'xml-security:xmlsec' from the r
epository: Error transferring file
  xml-security:xmlsec:pom:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)

  xml-security:xmlsec:jar:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)
Path to dependency:
        1) com.foo.bar:bar-web:war:1.0.0-SNAPSHOT


        at org.apache.maven.artifact.resolver.DefaultArtifactCollector.recurse(D
efaultArtifactCollector.java:297)
        at org.apache.maven.artifact.resolver.DefaultArtifactCollector.collect(D
efaultArtifactCollector.java:67)
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTra
nsitively(DefaultArtifactResolver.java:223)
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTra
nsitively(DefaultArtifactResolver.java:211)
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTra
nsitively(DefaultArtifactResolver.java:182)
        at org.apache.maven.plugin.DefaultPluginManager.resolveTransitiveDepende
ncies(DefaultPluginManager.java:1117)
        at org.apache.maven.plugin.DefaultPluginManager.executeMojo(DefaultPlugi
nManager.java:366)
        at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(Defa
ultLifecycleExecutor.java:534)
        ... 16 more
Caused by: org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException
: Unable to read the metadata file for artifact 'xml-security:xmlsec:jar': Error
 getting POM for 'xml-security:xmlsec' from the repository: Error transferring f
ile
  xml-security:xmlsec:pom:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)

        at org.apache.maven.project.artifact.MavenMetadataSource.retrieve(MavenM
etadataSource.java:131)
        at org.apache.maven.artifact.resolver.DefaultArtifactCollector.recurse(D
efaultArtifactCollector.java:275)
        ... 23 more
Caused by: org.apache.maven.project.ProjectBuildingException: Error getting POM
for 'xml-security:xmlsec' from the repository: Error transferring file
  xml-security:xmlsec:pom:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)

        at org.apache.maven.project.DefaultMavenProjectBuilder.findModelFromRepo
sitory(DefaultMavenProjectBuilder.java:501)
        at org.apache.maven.project.DefaultMavenProjectBuilder.buildFromReposito
ry(DefaultMavenProjectBuilder.java:225)
        at org.apache.maven.project.artifact.MavenMetadataSource.retrieve(MavenM
etadataSource.java:102)
        ... 24 more
Caused by: org.apache.maven.artifact.resolver.ArtifactResolutionException: Error
 transferring file
  xml-security:xmlsec:pom:1.3.0

from the specified remote repositories:
  central (http://trn-esv1:8080/archiva/repository/internal),
  internal-snapshot (http://trn-esv1:8080/archiva/repository/snapshots)

        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolve(De
faultArtifactResolver.java:140)
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolve(De
faultArtifactResolver.java:63)
        at org.apache.maven.project.DefaultMavenProjectBuilder.findModelFromRepo
sitory(DefaultMavenProjectBuilder.java:467)
        ... 26 more
Caused by: org.apache.maven.wagon.TransferFailedException: Error transferring fi
le
        at org.apache.maven.wagon.providers.http.LightweightHttpWagon.fillInputD
ata(LightweightHttpWagon.java:99)
        at org.apache.maven.wagon.StreamWagon.get(StreamWagon.java:68)
        at org.apache.maven.artifact.manager.DefaultWagonManager.getRemoteFile(D
efaultWagonManager.java:369)
        at org.apache.maven.artifact.manager.DefaultWagonManager.getArtifact(Def
aultWagonManager.java:282)
        at org.apache.maven.artifact.manager.DefaultWagonManager.getArtifact(Def
aultWagonManager.java:244)
        at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolve(De
faultArtifactResolver.java:124)
        ... 28 more
Caused by: java.io.IOException: Server returned HTTP response code: 503 for URL:
 http://trn-esv1:8080/archiva/repository/internal/xml-security/xmlsec/1.3.0/xmls
ec-1.3.0.pom
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream(HttpURLCon
nection.java:1174)
        at org.apache.maven.wagon.providers.http.LightweightHttpWagon.fillInputD
ata(LightweightHttpWagon.java:85)
        ... 33 more
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 1 second
[INFO] Finished at: Tue Jul 10 15:05:00 GMT-03:00 2007
[INFO] Final Memory: 2M/4M
[INFO] ------------------------------------------------------------------------
{code}

",Major,Closed,Cannot Reproduce,,,Andres Bernasconi,sotretus
MRM-402,Bug,2007-05-30T03:50:11.891Z,2007-05-30T03:50:11.891Z,2009-12-21T05:23:32.503Z,2009-12-21T05:23:32.503Z,2009-12-21T05:23:32.272Z,2009-12-21T05:23:32.272Z,javadoc jar is listed as just jar in the download box,"go to an artifact that has an attached javadoc jar - you will notice that it is described as ""Jar"", not ""Javadoc""",Minor,Closed,Cannot Reproduce,Brett Porter,brettporter,Brett Porter,brettporter
MRM-456,Bug,2007-08-06T19:50:54.437Z,2007-08-06T19:50:54.437Z,2007-08-09T03:24:38.075Z,2007-08-09T03:24:38.075Z,2007-08-09T03:24:38.081Z,2007-08-09T03:24:38.081Z,current configuration code is too likely to complain about multiple sources,"those with alpha-1 are likely to have config in ~/.m2/archiva.xml.

But the default is to distribute and work with ${appserver.base}/conf/archiva.xml

This will complain whenever saving by default. I need to review the best distribution situation.",Major,Closed,Fixed,Brett Porter,brettporter,Brett Porter,brettporter
MRM-493,Bug,2007-09-12T08:00:19.208Z,2007-09-12T08:00:19.208Z,2007-10-10T19:33:35.769Z,2007-10-10T19:33:35.769Z,2007-10-10T19:33:35.773Z,2007-10-10T19:33:35.773Z,Downloaded artifacts are stored in incorrect archiva-managed repository,"I have added a new local directory as archiva-managed repository with id ""repo-trax"".
Although no proxy connector has been setup for this new archiva-managed repository, downloaded artifacts seem to be stored in this repository instead of the default ""internal"" repository.

The only proxy connector configuration is the one that comes by default (""internal"" connected to dev.java.net and repo1.maven.org).",Critical,Closed,Fixed,Joakim Erdfelt,joakime,Jo Vandermeeren,jo.vandermeeren
MRM-452,Improvement,2007-08-05T00:38:44.998Z,2007-08-05T00:38:44.998Z,2007-10-09T10:51:05.489Z,2007-10-09T10:51:05.489Z,,,"repository purge consumer should check that it is running first, and if it consumes an artifact it should prevent other consumers from running",this is to prevent the index/database getting inconsistent if it scans an artifact for the first time and decides to delete it,Major,Open,,,,Brett Porter,brettporter
