issue_id,username,display_name,created_date,created_date_zoned,message
MRM-436,oching,Maria Odea Ching,2007-08-13T21:08:00.854Z,2007-08-13T21:08:00.854Z,"Assuming that I don't have archiva.xml in ~/.m2/, so the one in $ARCHIVA_BASE$/conf/ (which initially just contains an empty <configuration/>) is used..

The default-archiva.xml has '0 0,30 0 * * ?' as the default cron expression for the snapshots repository. But it becomes '0 0' when displayed in the repositories page in archiva-webapp. When I updated the snapshots repository config and set the cron expression to '0 0,30 0 * * ?', I saw that there became two cron expression entries in its configuration in archiva.xml <refreshCronExpression>0 0</refreshCronExpression> and <refreshCronExpression>30 0 * * ?</refreshCronExpression>.  Although this is the case, the cron expression displayed in the webapp is still corrent, which is '0 0,30 0 * * ?'.

I suspect that the RegistryReader and RegistryWriter handles it as a special case when a ',' (comma) is recognized. 

There are two ways to approach this:
1. Set the default expression for the snapshots repo to be the same as for the releases
2. Set 2 <refreshCronExpression> values in default-archiva.xml for the snapshots repository <refreshCronExpression>0 0</refreshCronExpression>  and <refreshCronExpression>30 0 * * ?</refreshCronExpression>.

I'll do the first one for now as this was what has been suggested above :)

"
MRM-436,brettporter,Brett Porter,2007-08-13T21:12:05.197Z,2007-08-13T21:12:05.197Z,"oh good catch. You are right, the registry reader thinks it is a list (which it shouldn't do if the type isn't a list...)

I think we need to make it possible to store the commas, either by fixing the registry reader, or escaping it in some way before interacting with the registry in the configuration."
MRM-436,oching,Maria Odea Ching,2007-08-17T02:02:40.202Z,2007-08-17T02:02:40.202Z,"Fixed in -r566945

Fix:
- Added '\' for the snapshots cron expression in default-archiva.xml to escape the ',' 
- (DefaultArchivaConfiguration) Added method for adding '\' to the cron expression if ',' exists before saving the configuration and method for 
removing '\' after the configuration is read from the configuration file


"
MRM-421,wsmoak,Wendy Smoak,2007-06-22T23:07:57.624Z,2007-06-22T23:07:57.624Z,fixed in r550008
MRM-415,joakime,Joakim Erdfelt,2007-06-17T16:56:53.091Z,2007-06-17T16:56:53.091Z,"Some more details...

{code}
NestedThrowables:
com.mysql.jdbc.exceptions.MySQLSyntaxErrorException: Specified key was too long; max key length is 765 bytes
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.addClassTablesAndValidate(RDBMSManager.java:3330)
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.run(RDBMSManager.java:2554)
        at org.jpox.store.rdbms.RDBMSManager$MgmtTransaction.execute(RDBMSManager.java:2406)
        at org.jpox.store.rdbms.RDBMSManager.addClasses(RDBMSManager.java:821)
        at org.jpox.store.rdbms.RDBMSManager.addClass(RDBMSManager.java:835)
        at org.jpox.AbstractPersistenceManager.newObjectIdInstance(AbstractPersistenceManager.java:2377)
        at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectById(JdoAccess.java:428)
        ... 55 more
Caused by: com.mysql.jdbc.exceptions.MySQLSyntaxErrorException: Specified key was too long; max key length is 765 bytes
        at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:936)
        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:2870)
        at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:1573)
        at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:1665)
        at com.mysql.jdbc.Connection.execSQL(Connection.java:3170)
        at com.mysql.jdbc.Connection.execSQL(Connection.java:3099)
        at com.mysql.jdbc.Statement.execute(Statement.java:695)
        at org.jpox.store.rdbms.table.AbstractTable.executeDdlStatement(AbstractTable.java:614)
        at org.jpox.store.rdbms.table.AbstractTable.executeDdlStatementList(AbstractTable.java:570)
        at org.jpox.store.rdbms.table.AbstractTable.create(AbstractTable.java:297)
        at org.jpox.store.rdbms.table.AbstractTable.exists(AbstractTable.java:341)
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.performTablesValidation(RDBMSManager.java:3052)
        at org.jpox.store.rdbms.RDBMSManager$ClassAdder.addClassTablesAndValidate(RDBMSManager.java:3313)
        ... 61 more
{code}"
MRM-415,joakime,Joakim Erdfelt,2007-06-17T16:57:22.999Z,2007-06-17T16:57:22.999Z,Going through and setting the stash.maxsize on all of the keys in the database
MRM-415,joakime,Joakim Erdfelt,2007-06-17T18:30:39.409Z,2007-06-17T18:30:39.409Z,Fixed in trunk.
MRM-485,oching,Maria Odea Ching,2007-08-27T20:33:34.541Z,2007-08-27T20:33:34.541Z,"Issue already fixed in trunk.. please see MRM-374.
The fix will be included in beta-2 release :)"
MRM-485,oching,Maria Odea Ching,2007-08-28T01:11:57.583Z,2007-08-28T01:11:57.583Z,Changed resolution to Duplicate (MRM-374)
MRM-488,joakime,Joakim Erdfelt,2007-09-24T13:38:15.81Z,2007-09-24T13:38:15.81Z,This jira and MRM-487 are related.
MRM-488,joakime,Joakim Erdfelt,2007-09-28T18:27:35.492Z,2007-09-28T18:27:35.492Z,Fixed in archiva/trunk revision 580514.
MRM-431,sotretus,Andres Bernasconi,2007-07-10T13:12:35.547Z,2007-07-10T13:12:35.547Z,"Here is the wget for the request 

C:\Data\dev\tools\wget>wget -S http://trn-esv1:8080/archiva/repository/internal/xml-security/xmlsec/1.3.0/xmlsec-1.3.0.pom
--15:12:04--  http://trn-esv1:8080/archiva/repository/internal/xml-security/xmlsec/1.3.0/xmlsec-1.3.0.pom => `xmlsec-1.3.0.pom'
Connecting to trn-esv1:8080... connected!
HTTP request sent, awaiting response... 404 Not Found
2 Date: Tue, 10 Jul 2007 18:10:27 GMT
3 Server: Jetty/5.1.10 (Windows 2003/5.2 x86 java/1.5.0_05
4 DAV: 1
5 MS-Author-Via: DAV
6 Content-Type: text/html; charset=""UTF-8""
7 Connection: close
8
15:12:17 ERROR 404: Not Found.

"
